0 1128 9 23 0
1 1136 11 20 0
2 1105 13 12 0
3 1114 9 13 0
4 1107 15 20 0
5 1097 10 10 0
6 1082 12 13 0
7 971 10 10 0
8 837 15 10 0
9 729 9 2 0
10 633 11 0 0
11 587 11 4 0
12 516 6 6 0
13 398 3 7 0
14 345 1 6 0
15 331 2 5 0
16 342 5 6 0
17 326 2 4 0
18 325 6 8 0
19 308 2 6 0
20 280 2 6 0
21 228 2 6 0
22 202 3 2 0
23 159 0 2 0
24 115 0 1 0
25 90 1 7 0
26 72 0 0 0
27 58 0 1 0
28 43 0 1 0
29 38 0 0 0
30 34 0 1 0
31 31 0 0 0
32 25 0 0 0
33 18 0 1 0
34 11 0 0 0
35 10 0 0 0
36 6 0 0 0
37 2 0 0 0
38 1 0 0 0
39 1 0 0 0
40 1 0 0 0
41 1 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 0 0 0 0
52 0 0 0 0
53 0 0 0 0
54 0 0 0 0
55 0 0 0 0
56 0 0 0 0
57 0 0 0 0
58 0 0 0 0
59 0 0 0 0
60 0 0 0 0
61 0 0 0 0
62 0 0 0 0
63 0 0 0 0
64 0 0 0 0
65 0 0 0 0
66 0 0 0 0
67 0 0 0 0
68 0 0 0 0
69 0 0 0 0
70 0 0 0 0
71 0 0 0 0
72 0 0 0 0
73 0 0 0 0
74 0 0 0 0
75 0 0 0 0
76 0 0 0 0
77 0 0 0 0
78 0 0 0 0
79 0 0 0 0
80 0 0 0 0
81 0 0 0 0
82 0 0 0 0
83 0 0 0 0
84 0 0 0 0
85 0 0 0 0
86 0 0 0 0
87 0 0 0 0
88 0 0 0 0
89 0 0 0 0
90 0 0 0 0
91 0 0 0 0
92 0 0 0 0
93 0 0 0 0
94 0 0 0 0
95 0 0 0 0
96 0 0 0 0
97 0 0 0 0
98 0 0 0 0
99 0 0 0 0
