0,15688,190,464,0
1,15474,165,417,0
2,15425,186,380,0
3,15484,172,340,0
4,15531,156,316,0
5,15164,131,293,0
6,14602,156,257,0
7,12849,154,173,0
8,10974,149,113,0
9,9979,157,83,0
10,9897,127,97,0
11,9428,108,127,0
12,8890,98,144,0
13,8375,99,171,0
14,8121,106,194,0
15,8262,80,245,0
16,8459,91,184,0
17,8537,102,207,0
18,8363,94,200,0
19,8207,72,188,0
20,7853,78,168,0
21,7177,65,150,0
22,6450,58,138,0
23,5503,65,113,0
24,4861,52,105,0
25,4260,58,82,0
26,3838,59,65,0
27,3462,57,68,0
28,3209,45,69,0
29,2840,47,53,0
30,2678,45,54,0
31,2419,41,42,0
32,2182,37,38,0
33,1924,30,26,0
34,1639,32,33,0
35,1475,35,16,0
36,1292,23,17,0
37,1180,25,21,0
38,1008,20,21,0
39,957,18,15,0
40,829,21,8,0
41,697,10,12,0
42,624,11,13,0
43,503,12,6,0
44,471,12,4,0
45,406,9,7,0
46,344,7,1,0
47,292,9,2,0
48,241,9,4,0
49,229,5,1,0
50,191,5,3,0
51,160,5,1,0
52,139,8,0,0
53,129,6,2,0
54,119,1,0,0
55,89,2,1,0
56,89,5,0,0
57,72,2,0,0
58,64,1,0,0
59,72,2,0,0
60,49,1,0,0
61,37,2,0,0
62,36,2,0,0
63,26,0,0,0
64,20,2,0,0
65,25,2,0,0
66,22,3,0,0
67,24,0,0,0
68,26,2,0,0
69,18,1,0,0
70,15,0,0,0
71,19,2,0,0
72,17,0,0,0
73,13,0,0,0
74,13,2,0,0
75,13,0,0,0
76,13,0,0,0
77,7,0,0,0
78,7,2,0,0
79,7,0,0,0
80,6,0,0,0
81,5,0,0,0
82,6,1,0,0
83,6,1,0,0
84,9,2,0,0
85,6,0,0,0
86,9,0,0,0
87,10,0,0,0
88,5,0,0,0
89,5,0,0,0
90,6,0,0,0
91,3,0,0,0
92,4,0,0,0
93,5,1,0,0
94,5,0,0,0
95,7,1,0,0
96,11,2,0,0
97,7,0,0,0
98,8,0,0,0
99,6,1,0,0
100,6,0,0,0
101,2,0,0,0
102,1,0,0,0
103,1,0,0,0
104,1,0,0,0
105,2,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
