0 53 81 0
1 684 966 55
2 7145 7846 5623
3 9109 8846 7955
4 8131 7668 5799
5 7386 6786 4172
6 7494 6906 4400
7 8045 7648 5693
8 8026 8028 6054
9 7289 7742 5031
10 6864 7366 4230
11 7166 7468 4634
12 7741 7879 5620
13 7977 7813 5790
14 7630 7300 4930
15 7255 7073 4328
16 7442 7316 4758
17 7828 7674 5502
18 7844 7788 5632
19 7497 7602 5099
20 7130 7339 4469
21 7152 7403 4555
22 7566 7846 5412
23 7870 7948 5818
24 7698 7457 5155
25 7287 7047 4334
26 7328 7154 4482
27 7853 7660 5513
28 7989 7953 5942
29 7484 7553 5037
30 7061 7115 4176
31 7235 7416 4651
32 7650 8004 5654
33 7711 8028 5739
34 7462 7485 4947
35 7313 7049 4362
36 7579 7128 4707
37 8030 7489 5519
38 7936 7730 5666
39 7376 7672 5048
40 7023 7463 4486
41 7077 7512 4589
42 7520 7841 5361
43 7927 7908 5835
44 7729 7460 5189
45 7299 6984 4283
46 7404 7095 4499
47 7923 7624 5547
48 8004 7887 5891
49 7408 7646 5054
